,Unnamed: 0,verbs,bigram_all_cases,preposition_data,bigrams_all_cases_CAT,preposition data,bigrams_all_cases_CAT_negation
0,0,формироваться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'на': 2, 'произвольность': 1, 'мировоззрение': 1, 'облик': 1, 'путeм': 1, 'ребeнок': 1, 'новый': 1, 'под': 1, 'у': 1, 'в': 1}","{'gen': 52, 'acc': 35, 'ins': 70, 'dat': 5}","{'с': 14, 'в': 175, 'под': 29, 'за': 19, 'по': 13, 'вследствие': 2, 'из': 27, 'на': 61, 'через': 11, 'между': 2, 'посредством': 5, 'согласно': 2, 'благодаря': 6, 'после': 3, 'для': 4, 'вокруг': 7, 'среди': 1, 'у': 9, 'относительно': 2, 'путем': 4, 'при': 6, 'к': 1, 'помимо': 1, 'со': 1, 'вне': 1}","{'gen': 50, 'acc': 35, 'ins': 70, 'dat': 5}"
1,1,расширяться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'и': 2, 'ни-ни': 1, 'при': 1, 'или': 1, 'за': 1, 'а': 1}","{'gen': 17, 'acc': 6, 'ins': 3, 'dat': 1}","{'до': 9, 'за': 13, 'с': 2, 'в': 9, 'на': 3, 'по': 2, 'ввиду': 1, 'от': 1, 'благодаря': 1, 'к': 1, 'посредством': 1, 'во': 1}","{'gen': 17, 'acc': 6, 'ins': 3, 'dat': 1}"
2,2,отличать,"{'gen': 0, 'dat': 0, 'acc': 8, 'ins': 0, 'loc': 0}",,"{'gen': 9, 'acc': 285, 'ins': 0, 'dat': 1}","{'от': 17, 'за': 1, 'по': 2, 'в': 1}","{'gen': 9, 'acc': 285, 'ins': 0, 'dat': 1}"
3,3,выражеть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 4, 'acc': 76, 'ins': 110, 'dat': 13}","{'в': 71, 'вовне': 1, 'при': 2, 'с': 1, 'на': 2, 'у': 1, 'прежде': 1, 'через': 1, 'для': 1}","{'gen': 4, 'acc': 76, 'ins': 110, 'dat': 13}"
4,4,отнимать,"{'gen': 0, 'dat': 0, 'acc': 1, 'ins': 0, 'loc': 0}",{'у': 2},"{'gen': 1, 'acc': 9, 'ins': 1, 'dat': 0}","{'от': 3, 'около': 1, 'у': 9}","{'gen': 1, 'acc': 9, 'ins': 1, 'dat': 0}"
5,5,сокрушаться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'ведь': 1, 'чем': 1, 'о': 1, 'что': 1}","{'gen': 0, 'acc': 0, 'ins': 1, 'dat': 0}","{'по': 3, 'о': 1}","{'gen': 0, 'acc': 0, 'ins': 1, 'dat': 0}"
6,6,удостоиться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 8, 'acc': 0, 'ins': 1, 'dat': 0}",{'в': 1},"{'gen': 6, 'acc': 0, 'ins': 1, 'dat': 0}"
7,7,повредить,"{'gen': 1, 'dat': 5, 'acc': 6, 'ins': 1, 'loc': 0}",,"{'gen': 3, 'acc': 4, 'ins': 5, 'dat': 11}","{'в': 3, 'во': 1}","{'gen': 3, 'acc': 4, 'ins': 5, 'dat': 11}"
8,8,вырастать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'только': 1, 'в': 1, 'и': 1}","{'gen': 0, 'acc': 6, 'ins': 1, 'dat': 1}","{'до': 3, 'из': 20, 'на': 3, 'в': 3, 'за': 1, 'от': 1}","{'gen': 0, 'acc': 6, 'ins': 1, 'dat': 1}"
9,9,фреймировать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 12, 'ins': 1, 'dat': 0}",{},"{'gen': 0, 'acc': 12, 'ins': 1, 'dat': 0}"
10,10,рифмоваться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 2, 'acc': 1, 'ins': 0, 'dat': 0}",{'с': 2},"{'gen': 2, 'acc': 1, 'ins': 0, 'dat': 0}"
11,11,дезертировать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}","{'из': 4, 'с': 1, 'в': 1, 'на': 1}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
12,12,отличиться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'и': 2, 'мудрено': 1, 'угодить': 1, 'но': 1, 'в': 1}","{'gen': 3, 'acc': 4, 'ins': 1, 'dat': 1}","{'в': 2, 'во': 1}","{'gen': 3, 'acc': 4, 'ins': 1, 'dat': 1}"
13,13,переформулировать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 1, 'acc': 15, 'ins': 1, 'dat': 0}","{'с': 2, 'в': 2, 'для': 1}","{'gen': 1, 'acc': 15, 'ins': 1, 'dat': 0}"
14,14,уносить,"{'gen': 0, 'dat': 0, 'acc': 2, 'ins': 0, 'loc': 0}","{'ноги': 1, 'эту': 1}","{'gen': 0, 'acc': 4, 'ins': 0, 'dat': 0}","{'с': 1, 'на': 1, 'в': 2}","{'gen': 0, 'acc': 4, 'ins': 0, 'dat': 0}"
15,15,перестроить,"{'gen': 0, 'dat': 0, 'acc': 4, 'ins': 0, 'loc': 0}","{'артистические': 1, 'перевернуть': 1, 'работу': 1, 'жизнь': 1, 'еe': 1, 'на': 1}","{'gen': 1, 'acc': 15, 'ins': 0, 'dat': 0}","{'от': 1, 'на': 2, 'в': 2, 'из': 1, 'вокруг': 1}","{'gen': 1, 'acc': 15, 'ins': 0, 'dat': 0}"
16,16,задавать,"{'gen': 3, 'dat': 9, 'acc': 17, 'ins': 0, 'loc': 0}",,"{'gen': 11, 'acc': 366, 'ins': 126, 'dat': 42}","{'по': 3, 'с': 2, 'до': 1, 'в': 13, 'из': 1, 'во': 3, 'для': 2, 'на': 4, 'путем': 1, 'про': 1}","{'gen': 8, 'acc': 366, 'ins': 126, 'dat': 42}"
17,17,пересылать,"{'gen': 0, 'dat': 1, 'acc': 1, 'ins': 0, 'loc': 0}","{'отцу': 1, 'что-то': 1}","{'gen': 0, 'acc': 3, 'ins': 0, 'dat': 1}","{'в': 2, 'по': 1}","{'gen': 0, 'acc': 3, 'ins': 0, 'dat': 1}"
18,18,визжать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'и': 5, 'царапаться': 1, 'грозить': 1}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}",{'от': 3},"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
19,19,убрать,"{'gen': 0, 'dat': 0, 'acc': 24, 'ins': 1, 'loc': 0}","{'из': 5, 'с': 3, 'со': 2}","{'gen': 3, 'acc': 27, 'ins': 2, 'dat': 1}","{'из': 5, 'в': 6, 'после': 1, 'с': 7}","{'gen': 3, 'acc': 27, 'ins': 2, 'dat': 1}"
20,20,‘давать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 4, 'acc': 10, 'ins': 0, 'dat': 1}","{'по': 1, 'в': 1}","{'gen': 4, 'acc': 10, 'ins': 0, 'dat': 1}"
21,21,подлежащать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 3, 'acc': 0, 'ins': 0, 'dat': 8}",{},"{'gen': 1, 'acc': 0, 'ins': 0, 'dat': 8}"
22,22,рассредоточить,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}","{'по': 5, 'в': 2, 'между': 1, 'на': 1, 'среди': 1, 'вокруг': 1}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
23,23,рассматривать,"{'gen': 2, 'dat': 0, 'acc': 41, 'ins': 0, 'loc': 0}","{'как': 27, 'и': 3}","{'gen': 1025, 'acc': 2724, 'ins': 471, 'dat': 121}","{'прежде': 12, 'в': 944, 'с': 86, 'под': 7, 'для': 9, 'взаимосвязь': 1, 'по': 25, 'сквозь': 16, 'через': 26, 'на': 52, 'вне': 9, 'при': 8, 'заповедь': 1, 'без': 4, 'до': 1, 'путем': 1, 'около': 3, 'у': 1, 'онтогенез': 1, 'среди': 1, 'высоко': 1, 'относительно': 1, 'между': 1, 'из': 2, 'подобно': 1}","{'gen': 1008, 'acc': 2724, 'ins': 471, 'dat': 121}"
24,24,отчужсти,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}","{'по': 1, 'от': 5, 'при': 1}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
25,25,упать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 1, 'acc': 2, 'ins': 2, 'dat': 1}","{'в': 3, 'с': 3, 'на': 2, 'при': 1}","{'gen': 1, 'acc': 2, 'ins': 2, 'dat': 1}"
26,26,архимандрить,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 1, 'ins': 0, 'dat': 0}",{},"{'gen': 0, 'acc': 1, 'ins': 0, 'dat': 0}"
27,27,производить,"{'gen': 0, 'dat': 0, 'acc': 29, 'ins': 1, 'loc': 0}","{'в': 3, 'при': 2, 'с': 2}","{'gen': 116, 'acc': 481, 'ins': 158, 'dat': 15}","{'подсчет': 3, 'в': 134, 'на': 64, 'между': 1, 'для': 11, 'с': 51, 'путем': 6, 'по': 51, 'за': 11, 'из': 9, 'посредством': 4, 'у': 1, 'около': 6, 'до': 4, 'порядка': 1, 'при': 6, 'после': 3, 'от': 8, 'над': 1, 'согласно': 1, 'под': 3, 'без': 4, 'пересчет': 1, 'через': 9, 'вне': 1, 'к': 1, 'благодаря': 1, 'кроме': 1, 'вместо': 1, 'ради': 1}","{'gen': 100, 'acc': 481, 'ins': 158, 'dat': 15}"
28,28,санкционировать,"{'gen': 0, 'dat': 0, 'acc': 1, 'ins': 0, 'loc': 0}","{'выдачу': 1, 'не': 1}","{'gen': 4, 'acc': 32, 'ins': 25, 'dat': 0}","{'в': 1, 'на': 1}","{'gen': 4, 'acc': 32, 'ins': 25, 'dat': 0}"
29,29,одушевлеть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 9, 'acc': 4, 'ins': 2, 'dat': 0}",{},"{'gen': 9, 'acc': 4, 'ins': 2, 'dat': 0}"
30,30,Переселиться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}",{'на': 1},"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
31,31,пояснять,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 1, 'acc': 28, 'ins': 9, 'dat': 2}",{'в': 3},"{'gen': 1, 'acc': 28, 'ins': 9, 'dat': 2}"
32,32,подводить,"{'gen': 1, 'dat': 0, 'acc': 8, 'ins': 0, 'loc': 0}",,"{'gen': 3, 'acc': 231, 'ins': 1, 'dat': 1}","{'к': 26, 'под': 12, 'с': 1, 'в': 1, 'для': 1}","{'gen': 3, 'acc': 231, 'ins': 1, 'dat': 1}"
33,33,вербализовывать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 9, 'ins': 0, 'dat': 0}",{},"{'gen': 0, 'acc': 9, 'ins': 0, 'dat': 0}"
34,34,ʻпроизводить,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 1, 'acc': 9, 'ins': 0, 'dat': 0}",{},"{'gen': 1, 'acc': 9, 'ins': 0, 'dat': 0}"
35,35,голодать,"{'gen': 0, 'dat': 0, 'acc': 1, 'ins': 0, 'loc': 0}","{'и': 2, 'день': 1, 'человек': 1, 'по': 1, 'но': 1}","{'gen': 8, 'acc': 1, 'ins': 1, 'dat': 4}","{'в': 1, 'во': 1}","{'gen': 8, 'acc': 1, 'ins': 1, 'dat': 4}"
36,36,стоять,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'в': 34, 'на': 31, 'перед': 13, 'у': 8, 'с': 6, 'без': 4, 'под': 4, 'за': 4, 'по': 2, 'и': 7, 'а': 4, 'пока': 3, 'как': 3, 'ни': 2, 'насмерть': 4, 'рядом': 4}","{'gen': 33, 'acc': 76, 'ins': 28, 'dat': 6}","{'перед': 183, 'на': 207, 'в': 196, 'при': 4, 'за': 107, 'для': 4, 'без': 4, 'у': 43, 'от': 3, 'во': 9, 'между': 4, 'под': 5, 'до': 4, 'вне': 9, 'с': 4, 'вокруг': 1, 'к': 6, 'со': 1, 'вдоль': 2, 'посреди': 4, 'над': 9, 'ради': 1, 'поперек': 1, 'против': 1, 'возле': 1, 'после': 7, 'около': 1, 'высоко': 1, 'о': 1, 'по': 3}","{'gen': 26, 'acc': 76, 'ins': 28, 'dat': 6}"
37,37,повторять,"{'gen': 7, 'dat': 5, 'acc': 18, 'ins': 1, 'loc': 0}",,"{'gen': 6, 'acc': 178, 'ins': 5, 'dat': 4}","{'для': 3, 'до': 2, 'при': 2, 'с': 1, 'о': 1, 'в': 14, 'на': 2, 'за': 2, 'по': 1, 'у': 1}","{'gen': 5, 'acc': 178, 'ins': 5, 'dat': 4}"
38,38,проработать,"{'gen': 0, 'dat': 0, 'acc': 6, 'ins': 0, 'loc': 0}","{'создание': 1, 'вопросы': 1, 'вопрос': 1, 'несколько': 1, 'этот': 1, 'без': 1, 'все': 1}","{'gen': 6, 'acc': 11, 'ins': 9, 'dat': 2}","{'за': 1, 'в': 16, 'на': 7, 'у': 1, 'по': 2, 'с': 1, 'до': 1}","{'gen': 6, 'acc': 11, 'ins': 9, 'dat': 2}"
39,39,заканчивать,"{'gen': 0, 'dat': 0, 'acc': 6, 'ins': 0, 'loc': 0}","{'любые': 1, 'небольшой': 1, 'работу': 1, 'наши': 1, 'свой': 1, 'свою': 1}","{'gen': 2, 'acc': 48, 'ins': 93, 'dat': 1}","{'в': 2, 'на': 1, 'под': 1}","{'gen': 2, 'acc': 48, 'ins': 93, 'dat': 1}"
40,40,доносить,"{'gen': 0, 'dat': 2, 'acc': 0, 'ins': 0, 'loc': 0}","{'на': 4, 'о': 2}","{'gen': 0, 'acc': 3, 'ins': 0, 'dat': 7}","{'до': 6, 'в': 3, 'из': 1, 'на': 1}","{'gen': 0, 'acc': 3, 'ins': 0, 'dat': 7}"
41,41,вербализовать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 14, 'ins': 2, 'dat': 0}","{'в': 6, 'при': 1, 'с': 1}","{'gen': 0, 'acc': 14, 'ins': 2, 'dat': 0}"
42,42,торопиться,"{'gen': 0, 'dat': 3, 'acc': 0, 'ins': 0, 'loc': 0}","{'не': 7, 'то': 2, 'с': 2, 'в': 2}","{'gen': 0, 'acc': 0, 'ins': 1, 'dat': 0}","{'с': 9, 'для': 1}","{'gen': 0, 'acc': 0, 'ins': 1, 'dat': 0}"
43,43,усугубить,"{'gen': 0, 'dat': 0, 'acc': 6, 'ins': 0, 'loc': 0}","{'экономический': 2, 'казнь': 1, 'страсть': 1, 'ситуацию': 1, 'различные': 1, 'наши': 1}","{'gen': 0, 'acc': 31, 'ins': 9, 'dat': 0}","{'в': 2, 'из-за': 1}","{'gen': 0, 'acc': 31, 'ins': 9, 'dat': 0}"
44,44,умалить,"{'gen': 0, 'dat': 0, 'acc': 3, 'ins': 0, 'loc': 0}","{'великое': 1, 'бога': 1, 'роль': 1, 'в': 1}","{'gen': 3, 'acc': 5, 'ins': 0, 'dat': 0}",{},"{'gen': 1, 'acc': 5, 'ins': 0, 'dat': 0}"
45,45,утолщеть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 3, 'dat': 0}",{'спереди': 1},"{'gen': 0, 'acc': 0, 'ins': 3, 'dat': 0}"
46,46,оправдывать,"{'gen': 0, 'dat': 0, 'acc': 5, 'ins': 0, 'loc': 0}","{'и': 2, 'возложенные': 1, 'утверждать': 1, 'надежды': 1, 'никого': 1, 'другого': 1, 'свою': 1, 'не': 1}","{'gen': 5, 'acc': 74, 'ins': 25, 'dat': 0}","{'по': 1, 'в': 3, 'до': 1, 'для': 1, 'за': 1}","{'gen': 2, 'acc': 74, 'ins': 25, 'dat': 0}"
47,47,добиться,"{'gen': 79, 'dat': 0, 'acc': 1, 'ins': 1, 'loc': 0}",,"{'gen': 426, 'acc': 9, 'ins': 5, 'dat': 0}","{'за': 1, 'в': 16, 'от': 20, 'до': 1, 'на': 3, 'для': 5, 'благодаря': 1, 'с': 1, 'путем': 1, 'без': 1, 'к': 1, 'у': 1}","{'gen': 420, 'acc': 9, 'ins': 5, 'dat': 0}"
48,48,переведить,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 9, 'acc': 0, 'ins': 4, 'dat': 0}","{'в': 2, 'на': 4, 'с': 4}","{'gen': 9, 'acc': 0, 'ins': 4, 'dat': 0}"
49,49,размещаться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'на': 2, 'пенсионные': 1}","{'gen': 1, 'acc': 1, 'ins': 1, 'dat': 0}","{'в': 33, 'за': 2, 'на': 17, 'по': 6, 'для': 1, 'с': 1, 'после': 1}","{'gen': 1, 'acc': 1, 'ins': 1, 'dat': 0}"
50,50,звенеть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 2, 'loc': 0}","{'пряжкой': 1, 'ключами': 1, 'турецкий': 1, 'телефон': 1, 'глаза': 1, 'но': 1, 'в': 1}","{'gen': 0, 'acc': 3, 'ins': 1, 'dat': 0}",{},"{'gen': 0, 'acc': 3, 'ins': 1, 'dat': 0}"
51,51,согласоваться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 1, 'acc': 0, 'ins': 0, 'dat': 1}","{'с': 425, 'от': 1, 'по': 21, 'между': 3, 'в': 1}","{'gen': 1, 'acc': 0, 'ins': 0, 'dat': 1}"
52,52,соорудить,"{'gen': 0, 'dat': 0, 'acc': 4, 'ins': 0, 'loc': 0}","{'миниатюрные': 1, 'ограды': 1, 'носилки': 1, 'огромную': 1, 'да': 1, 'у': 1, 'в': 1}","{'gen': 2, 'acc': 3, 'ins': 1, 'dat': 1}","{'около': 1, 'из': 2, 'на': 2, 'в': 5, 'среди': 1}","{'gen': 2, 'acc': 3, 'ins': 1, 'dat': 1}"
53,53,высмеивать,"{'gen': 0, 'dat': 0, 'acc': 2, 'ins': 0, 'loc': 0}","{'бредовую': 1, 'их': 1, 'еe': 1, 'чтобы': 1}","{'gen': 1, 'acc': 12, 'ins': 0, 'dat': 0}",{'в': 1},"{'gen': 1, 'acc': 12, 'ins': 0, 'dat': 0}"
54,54,приобщиться,"{'gen': 0, 'dat': 3, 'acc': 1, 'ins': 0, 'loc': 0}","{'к': 9, 'богу': 2, 'опыту': 1, 'это': 1}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}","{'к': 9, 'с': 1}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
55,55,атрибутировать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 14, 'ins': 1, 'dat': 9}",{},"{'gen': 0, 'acc': 14, 'ins': 1, 'dat': 9}"
56,56,связываться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'с': 11, 'не': 3, 'посомневался': 1, 'лишняя': 1, 'дабы': 1, 'нельзя': 1, 'когда': 1, 'а': 1, 'он': 1, 'в': 1}","{'gen': 0, 'acc': 0, 'ins': 1, 'dat': 1}","{'с': 91, 'в': 6, 'между': 1, 'по': 1, 'у': 1, 'прежде': 1}","{'gen': 0, 'acc': 0, 'ins': 1, 'dat': 1}"
57,57,удаваться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 2, 'acc': 2, 'ins': 1, 'dat': 3}","{'из-за': 1, 'в': 10, 'по': 2, 'при': 1, 'на': 1, 'с': 2, 'через': 1, 'благодаря': 1}","{'gen': 1, 'acc': 2, 'ins': 1, 'dat': 3}"
58,58,выставлять,"{'gen': 0, 'dat': 0, 'acc': 5, 'ins': 0, 'loc': 0}","{'комнатные': 1, 'отметки': 1, 'любую': 1, 'подобные': 1, 'себя': 1, 'или': 1, 'а': 1, 'на': 1}","{'gen': 7, 'acc': 25, 'ins': 3, 'dat': 4}","{'на': 13, 'в': 7, 'у': 1, 'для': 1, 'с': 1, 'среди': 1}","{'gen': 4, 'acc': 25, 'ins': 3, 'dat': 4}"
59,59,нижеть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 1, 'acc': 1, 'ins': 8, 'dat': 1}",{'по': 2},"{'gen': 1, 'acc': 1, 'ins': 8, 'dat': 1}"
60,60,помниться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 2}",{},"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 2}"
61,61,жать,"{'gen': 0, 'dat': 2, 'acc': 3, 'ins': 0, 'loc': 0}","{'не': 2, 'кнопку': 1, 'платят': 1, 'собственную': 1, 'ботинки': 1, 'твою': 1, 'всем': 1, 'то': 1, 'мне': 1, 'на': 1}","{'gen': 13, 'acc': 18, 'ins': 3, 'dat': 3}","{'в': 5, 'на': 2, 'по': 2, 'с': 1, 'от': 1, 'из': 1, 'к': 2, 'до': 1, 'о': 1}","{'gen': 13, 'acc': 18, 'ins': 3, 'dat': 3}"
62,62,вуалировать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 3, 'acc': 2, 'ins': 2, 'dat': 0}","{'под': 2, 'в': 1}","{'gen': 3, 'acc': 2, 'ins': 2, 'dat': 0}"
63,63,взыскать,"{'gen': 0, 'dat': 0, 'acc': 3, 'ins': 0, 'loc': 0}","{'с': 4, 'налог': 2, 'компенсацию': 1, 'значит': 1, 'нельзя': 1, 'это': 1, 'и': 1}","{'gen': 9, 'acc': 8, 'ins': 3, 'dat': 0}","{'в': 8, 'с': 9, 'по': 2, 'из': 2, 'за': 1, 'на': 1}","{'gen': 9, 'acc': 8, 'ins': 3, 'dat': 0}"
64,64,целовать,"{'gen': 2, 'dat': 2, 'acc': 26, 'ins': 0, 'loc': 0}",,"{'gen': 1, 'acc': 9, 'ins': 0, 'dat': 2}",{'в': 2},"{'gen': 1, 'acc': 9, 'ins': 0, 'dat': 2}"
65,65,сочетаться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 1, 'loc': 0}","{'с': 2, 'браком': 1, 'общественный': 1, 'свойства': 1}","{'gen': 7, 'acc': 8, 'ins': 3, 'dat': 1}","{'с': 354, 'в': 20, 'у': 5, 'между': 2, 'на': 1}","{'gen': 7, 'acc': 8, 'ins': 3, 'dat': 1}"
66,66,зачать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 2, 'dat': 0}","{'в': 1, 'посредством': 1, 'с': 2, 'от': 2, 'при': 1}","{'gen': 0, 'acc': 0, 'ins': 2, 'dat': 0}"
67,67,обижать,"{'gen': 0, 'dat': 0, 'acc': 11, 'ins': 0, 'loc': 0}",,"{'gen': 2, 'acc': 1, 'ins': 0, 'dat': 0}",{},"{'gen': 0, 'acc': 1, 'ins': 0, 'dat': 0}"
68,68,изъявлять,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 2, 'acc': 5, 'ins': 0, 'dat': 0}",{},"{'gen': 0, 'acc': 5, 'ins': 0, 'dat': 0}"
69,69,накапливаться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 2, 'ins': 2, 'dat': 0}","{'при': 1, 'в': 7, 'с': 2, 'за': 1}","{'gen': 0, 'acc': 2, 'ins': 2, 'dat': 0}"
70,70,теряться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'афраний': 1, 'при': 1, 'и': 1}","{'gen': 1, 'acc': 0, 'ins': 0, 'dat': 0}","{'по': 2, 'из': 2, 'в': 13, 'с': 1}","{'gen': 1, 'acc': 0, 'ins': 0, 'dat': 0}"
71,71,расставаться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'с': 23, 'со': 3, 'не': 3}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}",{'с': 20},"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
72,72,рыбодобывать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 2, 'acc': 1, 'ins': 1, 'dat': 1}",{},"{'gen': 2, 'acc': 1, 'ins': 1, 'dat': 1}"
73,73,ругать,"{'gen': 1, 'dat': 0, 'acc': 20, 'ins': 1, 'loc': 0}",{'и': 2},"{'gen': 2, 'acc': 9, 'ins': 0, 'dat': 0}","{'на': 1, 'по': 1, 'за': 1, 'в': 1, 'с': 1}","{'gen': 2, 'acc': 9, 'ins': 0, 'dat': 0}"
74,74,испугаться,"{'gen': 1, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'засыпая': 1, 'тигра': 1, 'попросить': 1, 'наклонился': 1, 'у': 1, 'что': 1, 'а': 1, 'и': 1}","{'gen': 3, 'acc': 0, 'ins': 0, 'dat': 0}",{},"{'gen': 3, 'acc': 0, 'ins': 0, 'dat': 0}"
75,75,чтить,"{'gen': 0, 'dat': 0, 'acc': 8, 'ins': 0, 'loc': 0}","{'обычаи': 3, 'уголовный': 1, 'великого': 1, 'бога': 1, 'всех': 1, 'мать': 1}","{'gen': 0, 'acc': 13, 'ins': 1, 'dat': 0}","{'до': 1, 'в': 1}","{'gen': 0, 'acc': 13, 'ins': 1, 'dat': 0}"
76,76,выживать,"{'gen': 0, 'dat': 1, 'acc': 1, 'ins': 0, 'loc': 0}","{'в': 2, 'целому': 1, 'сообща': 1, 'сам': 1, 'всe': 1, 'а': 1, 'и': 1}","{'gen': 10, 'acc': 1, 'ins': 0, 'dat': 1}","{'в': 15, 'за': 2, 'с': 1, 'вне': 1, 'вопреки': 1}","{'gen': 10, 'acc': 1, 'ins': 0, 'dat': 1}"
77,77,проснуться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 2, 'loc': 0}",{'и': 5},"{'gen': 1, 'acc': 0, 'ins': 0, 'dat': 0}","{'в': 1, 'после': 1, 'среди': 1, 'от': 2}","{'gen': 1, 'acc': 0, 'ins': 0, 'dat': 0}"
78,78,выдавать,"{'gen': 5, 'dat': 6, 'acc': 19, 'ins': 0, 'loc': 0}",,"{'gen': 13, 'acc': 114, 'ins': 32, 'dat': 36}","{'в': 24, 'на': 14, 'под': 5, 'за': 18, 'до': 1, 'из': 2, 'по': 9, 'через': 1, 'без': 1, 'против': 1, 'с': 1, 'вне': 1, 'после': 2, 'посредством': 1}","{'gen': 10, 'acc': 114, 'ins': 32, 'dat': 36}"
