,Unnamed: 0,verbs,bigram_all_cases,preposition_data,bigrams_all_cases_CAT,preposition data,bigrams_all_cases_CAT_negation
1756,1756,осмысливаться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 1, 'dat': 0}","{'в': 6, 'на': 2, 'сквозь': 1, 'по': 1}","{'gen': 0, 'acc': 0, 'ins': 1, 'dat': 0}"
1757,1757,заглазить,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}","{'на': 2, 'с': 2}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
1758,1758,уступать,"{'gen': 0, 'dat': 3, 'acc': 4, 'ins': 0, 'loc': 0}",{'и': 2},"{'gen': 10, 'acc': 77, 'ins': 11, 'dat': 87}","{'в': 14, 'по': 24, 'посредством': 1, 'на': 1}","{'gen': 9, 'acc': 77, 'ins': 11, 'dat': 87}"
1759,1759,преминуть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 3, 'dat': 0}",{},"{'gen': 0, 'acc': 0, 'ins': 3, 'dat': 0}"
1760,1760,отделяться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'маленькие': 1, 'от': 1, 'на': 1}","{'gen': 0, 'acc': 1, 'ins': 5, 'dat': 0}","{'от': 33, 'по': 1, 'в': 2}","{'gen': 0, 'acc': 1, 'ins': 5, 'dat': 0}"
1761,1761,зевать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'справьтесь': 1, 'начинала': 1, 'чувствовать': 1, 'нельзя': 1, 'так': 1, 'а': 1, 'и': 1}","{'gen': 2, 'acc': 9, 'ins': 0, 'dat': 0}",{},"{'gen': 2, 'acc': 9, 'ins': 0, 'dat': 0}"
1762,1762,упрочить,"{'gen': 0, 'dat': 0, 'acc': 2, 'ins': 0, 'loc': 0}","{'наше': 1, 'свою': 1}","{'gen': 0, 'acc': 19, 'ins': 0, 'dat': 0}",{},"{'gen': 0, 'acc': 19, 'ins': 0, 'dat': 0}"
1763,1763,накладывать,"{'gen': 0, 'dat': 0, 'acc': 5, 'ins': 0, 'loc': 0}","{'пневмоторакс': 1, 'искусственный': 1, 'розовый': 1, 'краски': 1, 'друг': 1, 'еe': 1, 'на': 1}","{'gen': 13, 'acc': 130, 'ins': 14, 'dat': 0}","{'на': 66, 'в': 4, 'при': 1, 'для': 2, 'поверх': 1, 'прежде': 1}","{'gen': 3, 'acc': 130, 'ins': 14, 'dat': 0}"
1764,1764,сообразовываться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}","{'с': 7, 'при': 1}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
1765,1765,удовлетворять,"{'gen': 0, 'dat': 7, 'acc': 4, 'ins': 2, 'loc': 0}",,"{'gen': 7, 'acc': 141, 'ins': 15, 'dat': 105}","{'за': 6, 'с': 1, 'на': 1, 'путем': 1, 'при': 2, 'из': 1, 'в': 5, 'через': 2, 'посредством': 1}","{'gen': 4, 'acc': 141, 'ins': 15, 'dat': 105}"
